Fruit_ID,Fruit_Type,Size_cm,Weight_g,Color_Intensity,Ripeness_Level,Firmness,Sweetness,Defect_Count,Bruise_Score,Spot_Score,Defect_Score,Size_to_Weight_Ratio,Grade
FR05722,Banana,15.57,148.93,0.51,0.05,0.16,0.23,1,0.78,0.11,0.31,10.45,Reject
FR05723,Orange,6.71,106.83,0.46,0.15,0.75,0.14,0,0.95,0.9,0.46,6.28,Reject
FR05724,Peach,7.01,175.67,0.81,0.11,0.66,0.85,1,0.45,0.95,0.37,3.99,Reject
FR05725,Apple,8.56,178.03,0.82,0.18,0.72,0.41,4,0.18,0.24,0.3,4.81,Reject
FR05726,Banana,18.09,117.26,0.63,0.8,0.07,0.7,3,0.22,0.98,0.41,15.43,Local
FR05727,Strawberry,2.85,13.22,0.96,0.69,0.51,0.55,1,0.27,0.55,0.24,21.56,Export
FR05728,Watermelon,25.59,5984.41,0.44,0.69,0.84,0.18,0,0.22,0.24,0.11,0.43,Local
FR05729,Peach,7.29,153.1,0.94,0.92,0.71,0.7,2,0.01,0.51,0.21,4.76,Export
FR05730,Watermelon,29.75,5246.58,0.83,0.39,0.86,0.42,0,0.86,0.08,0.27,0.57,Reject
FR05731,Peach,6.9,122.81,0.56,0.0,0.21,0.29,1,0.68,0.14,0.28,5.62,Reject
FR05732,Pomegranate,11.18,302.12,0.86,0.64,0.29,0.9,2,0.52,0.22,0.3,3.7,Local
FR05733,Mango,9.75,206.08,0.39,0.87,0.44,0.01,1,0.15,0.91,0.28,4.73,Local
FR05734,Watermelon,28.76,4221.92,0.39,0.98,0.52,0.4,3,0.04,0.95,0.35,0.68,Local
FR05735,Mango,13.45,146.63,0.95,0.36,0.25,0.3,3,0.38,0.41,0.35,9.17,Reject
FR05736,Banana,21.07,128.76,0.37,0.82,0.38,0.05,0,0.01,0.24,0.05,16.37,Local
FR05737,Pomegranate,9.13,272.63,0.3,0.85,0.69,0.08,4,0.06,0.32,0.28,3.35,Local
FR05738,Orange,9.2,165.91,0.57,0.14,0.65,0.17,2,0.07,0.33,0.19,5.55,Reject
FR05739,Grapes,1.78,3.71,0.37,0.63,0.11,0.5,0,0.82,0.55,0.36,48.05,Local
FR05740,Mango,11.23,249.96,0.9,0.17,0.99,0.28,0,0.73,0.17,0.25,4.49,Reject
FR05741,Pomegranate,7.36,277.67,0.95,0.45,0.56,0.84,0,0.31,0.58,0.21,2.65,Local
FR05742,Mango,10.24,250.35,0.64,0.88,0.48,0.24,1,0.3,0.37,0.22,4.09,Local
FR05743,Pear,9.78,220.3,0.6,0.79,0.97,0.72,1,0.34,0.62,0.28,4.44,Local
FR05744,Strawberry,3.88,17.84,0.68,0.57,0.14,0.21,0,0.57,0.57,0.28,21.76,Local
FR05745,Orange,7.83,151.42,0.46,0.81,0.54,0.04,0,0.86,0.46,0.35,5.17,Local
FR05746,Strawberry,2.94,21.19,0.51,0.15,0.81,0.26,1,0.48,0.12,0.22,13.87,Reject
FR05747,Peach,8.56,140.68,0.37,0.19,0.4,0.84,1,0.15,0.16,0.13,6.08,Reject
FR05748,Mango,8.9,251.14,0.61,0.21,0.74,0.08,3,0.16,0.35,0.27,3.54,Reject
FR05749,Peach,5.98,158.14,0.73,0.78,0.9,0.34,1,0.06,0.74,0.22,3.78,Local
FR05750,Apple,8.5,155.9,0.95,0.89,0.26,0.01,0,0.74,0.33,0.29,5.45,Local
FR05751,Mango,10.56,242.04,0.82,0.56,0.24,0.63,2,0.4,0.28,0.28,4.36,Local
FR05752,Pomegranate,9.01,247.57,0.81,0.96,0.36,0.94,2,0.92,0.79,0.53,3.64,Local
FR05753,Orange,6.25,175.62,0.52,0.73,0.42,0.38,2,0.31,0.87,0.37,3.56,Local
FR05754,Peach,6.68,143.51,0.92,0.56,0.11,0.58,0,0.8,0.72,0.38,4.65,Local
FR05755,Mango,11.38,262.08,0.96,0.61,0.23,0.45,1,0.5,0.45,0.29,4.34,Local
FR05756,Apple,6.87,119.78,0.95,0.85,0.87,0.97,1,0.85,0.21,0.35,5.74,Local
FR05757,Strawberry,3.25,21.19,0.33,0.09,0.57,0.74,1,0.56,0.99,0.42,15.35,Reject
FR05758,Pomegranate,8.21,265.09,0.72,0.17,0.27,0.04,0,0.19,0.34,0.13,3.1,Reject
FR05759,Pear,11.3,130.17,0.75,0.27,0.94,0.11,1,0.8,0.43,0.38,8.68,Reject
FR05760,Mango,10.0,321.12,0.51,0.89,0.77,0.47,0,0.01,0.52,0.11,3.12,Local
FR05761,Pear,8.95,160.94,0.99,0.94,0.36,0.63,0,0.5,0.56,0.26,5.56,Local
FR05762,Banana,20.52,120.99,0.5,0.36,0.77,0.29,1,0.2,0.02,0.11,16.96,Reject
FR05763,Orange,7.19,154.33,0.45,0.92,0.6,0.67,2,0.34,0.9,0.38,4.66,Local
FR05764,Mango,10.13,211.84,0.64,0.55,0.68,0.58,3,0.41,0.88,0.45,4.78,Local
FR05765,Watermelon,24.66,4241.75,0.53,0.47,0.32,0.44,2,0.56,0.12,0.29,0.58,Local
FR05766,Apple,8.01,168.51,0.95,0.83,0.21,0.58,1,0.35,0.85,0.33,4.75,Local
FR05767,Peach,7.72,163.69,0.61,0.55,0.25,0.92,1,0.64,0.16,0.27,4.71,Local
FR05768,Watermelon,23.78,5374.56,0.59,0.45,0.08,0.24,2,0.19,0.24,0.2,0.44,Local
FR05769,Banana,19.06,125.9,0.74,0.02,0.47,0.79,1,0.79,0.52,0.39,15.14,Reject
FR05770,Orange,7.07,126.87,0.36,0.01,0.41,0.01,1,0.6,0.98,0.43,5.57,Reject
FR05771,Strawberry,3.71,14.88,0.83,0.63,0.0,0.08,2,0.35,0.48,0.3,24.94,Local
FR05772,Pomegranate,8.71,172.75,0.84,0.07,0.86,0.95,0,0.53,0.39,0.24,5.04,Reject
FR05773,Pear,7.56,156.32,0.63,0.74,0.68,0.7,2,0.4,0.52,0.32,4.83,Local
FR05774,Banana,20.37,132.39,0.97,0.62,0.45,0.63,4,0.87,0.23,0.51,15.39,Local
FR05775,Peach,6.53,155.32,0.71,0.46,0.97,0.33,1,0.55,0.93,0.4,4.21,Local
FR05776,Pomegranate,9.96,273.25,0.79,0.71,0.94,0.18,1,0.79,0.94,0.47,3.64,Local
FR05777,Strawberry,2.92,19.38,0.95,0.99,0.1,0.38,1,0.79,0.68,0.42,15.06,Local
FR05778,Peach,6.92,114.12,0.77,0.25,0.62,0.6,0,0.73,0.15,0.25,6.06,Reject
FR05779,Apple,8.35,166.72,0.6,0.56,0.82,0.63,1,0.75,0.49,0.37,5.01,Local
FR05780,Pear,9.48,187.53,0.32,0.84,0.17,0.17,0,0.22,0.38,0.14,5.06,Local
FR05781,Watermelon,27.19,4865.5,0.81,0.02,0.13,0.45,3,0.87,1.0,0.61,0.56,Reject
FR05782,Mango,11.27,235.08,0.98,0.2,0.26,0.57,1,0.71,0.05,0.27,4.79,Reject
FR05783,Banana,16.74,144.09,0.63,0.52,0.28,0.96,0,0.05,0.26,0.07,11.62,Local
FR05784,Mango,8.3,282.88,0.54,0.55,0.96,0.55,0,0.65,0.49,0.29,2.93,Local
FR05785,Pomegranate,8.33,248.5,0.66,0.09,0.78,0.58,2,0.48,0.83,0.41,3.35,Reject
FR05786,Mango,11.35,194.14,0.81,0.41,0.06,0.77,0,0.14,0.73,0.19,5.84,Local
FR05787,Watermelon,22.55,4363.15,0.3,0.52,0.79,0.42,5,0.47,0.96,0.58,0.52,Reject
FR05788,Grapes,1.95,4.4,0.92,0.42,0.17,0.38,2,0.92,0.21,0.42,44.28,Local
FR05789,Pomegranate,10.73,355.47,0.92,0.7,0.36,0.59,1,0.88,0.1,0.33,3.02,Local
FR05790,Pear,6.82,194.7,0.68,0.77,0.32,0.78,0,0.09,0.59,0.14,3.5,Export
FR05791,Peach,7.72,151.4,0.39,0.46,0.27,0.64,2,0.44,0.43,0.32,5.1,Local
FR05792,Pear,8.29,173.41,0.77,0.43,0.31,0.19,3,0.51,0.33,0.37,4.78,Local
FR05793,Mango,10.01,234.24,0.4,0.71,0.75,0.4,2,0.69,0.78,0.46,4.27,Local
FR05794,Orange,6.41,147.42,0.66,0.56,0.27,0.51,1,0.77,0.55,0.39,4.35,Local
FR05795,Pomegranate,7.38,271.59,0.37,0.87,0.8,0.52,1,0.83,0.32,0.36,2.72,Local
FR05796,Peach,5.95,144.34,0.71,0.48,0.09,0.34,1,0.6,0.54,0.34,4.12,Local
FR05797,Strawberry,3.21,20.87,0.52,0.57,0.6,0.52,5,0.88,0.93,0.7,15.4,Reject
FR05798,Apple,9.04,198.15,0.88,0.13,0.86,0.67,1,0.56,0.26,0.27,4.56,Reject
FR05799,Pear,6.27,157.48,0.86,0.84,0.08,0.47,1,0.02,0.45,0.15,3.98,Local
FR05800,Pear,8.67,192.43,1.0,0.42,0.63,0.45,2,0.46,0.29,0.3,4.51,Local
FR05801,Pomegranate,7.22,238.75,0.48,0.72,0.51,0.8,3,0.16,0.58,0.31,3.02,Local
FR05802,Orange,7.62,151.91,0.34,0.43,0.33,0.76,3,0.57,0.9,0.5,5.01,Local
FR05803,Mango,11.5,266.64,0.61,0.0,0.1,0.42,0,0.68,0.65,0.33,4.31,Reject
FR05804,Mango,11.45,257.26,0.36,0.4,0.68,1.0,0,0.68,0.19,0.24,4.45,Local
FR05805,Pomegranate,9.06,307.92,0.42,0.15,0.31,0.07,0,0.49,0.13,0.17,2.94,Reject
FR05806,Pear,6.58,221.7,0.72,0.4,0.34,0.33,0,0.72,0.04,0.22,2.97,Reject
FR05807,Peach,5.15,117.34,0.71,0.32,0.72,0.04,2,0.11,0.84,0.3,4.39,Reject
FR05808,Apple,7.78,176.14,0.33,0.2,0.95,0.84,2,0.95,0.47,0.48,4.42,Reject
FR05809,Pomegranate,5.77,278.82,0.61,0.12,0.33,0.76,0,0.84,0.42,0.34,2.07,Reject
FR05810,Peach,7.67,160.88,0.67,0.73,0.75,0.68,1,0.86,0.26,0.36,4.76,Local
FR05811,Peach,6.41,133.68,0.49,0.75,0.96,0.21,0,0.03,0.43,0.1,4.8,Local
FR05812,Strawberry,3.24,18.82,0.91,0.26,0.1,0.71,1,0.23,0.35,0.19,17.22,Reject
FR05813,Watermelon,21.9,4333.06,0.41,0.5,0.53,0.36,2,0.1,0.74,0.28,0.51,Local
FR05814,Grapes,2.1,5.1,0.48,0.46,0.01,0.87,1,0.87,0.71,0.45,41.27,Local
FR05815,Apple,8.47,165.14,0.41,0.36,0.83,0.2,1,0.75,0.45,0.36,5.13,Reject
FR05816,Banana,19.52,135.81,0.38,0.28,0.29,0.22,2,0.1,0.65,0.26,14.37,Reject
FR05817,Orange,5.93,130.78,0.92,0.19,0.33,0.96,2,0.4,0.59,0.34,4.54,Reject
FR05818,Grapes,1.94,4.98,0.49,0.87,0.69,0.52,1,0.51,0.64,0.33,39.02,Local
FR05819,Strawberry,3.22,22.74,0.81,0.83,0.79,0.45,2,0.72,0.76,0.47,14.16,Local
FR05820,Apple,9.9,164.47,0.6,0.42,0.4,0.35,0,0.29,0.09,0.11,6.02,Local
FR05821,Mango,11.11,281.85,0.75,0.72,0.67,0.83,1,0.29,0.83,0.3,3.94,Local
FR05822,Grapes,1.55,5.02,0.95,0.5,0.96,0.35,1,0.53,0.28,0.27,30.91,Local
FR05823,Mango,12.29,225.88,0.89,0.09,0.89,0.36,3,0.53,0.38,0.38,5.44,Reject
FR05824,Orange,6.4,145.82,0.35,0.82,0.7,0.12,3,0.11,0.28,0.24,4.39,Local
FR05825,Mango,10.92,215.93,0.89,0.22,0.94,0.52,1,0.71,0.83,0.43,5.06,Reject
FR05826,Orange,9.39,139.23,0.62,0.71,0.88,0.92,3,0.18,0.87,0.38,6.74,Local
FR05827,Apple,6.89,157.75,0.55,0.53,0.73,0.96,1,0.85,0.14,0.33,4.37,Local
FR05828,Pear,9.98,180.47,0.77,0.69,0.92,1.0,1,0.77,0.52,0.39,5.53,Local
FR05829,Orange,7.94,130.39,0.97,0.47,0.82,0.47,3,0.98,0.38,0.52,6.09,Local
FR05830,Peach,8.25,151.8,0.37,0.7,0.5,0.77,1,0.17,0.18,0.14,5.43,Local
FR05831,Banana,20.26,126.57,0.84,0.03,0.5,0.55,1,0.94,0.56,0.44,16.01,Reject
FR05832,Banana,19.78,104.29,0.44,0.04,0.01,0.55,3,0.73,0.37,0.44,18.97,Reject
FR05833,Pomegranate,8.47,336.55,0.57,0.9,0.03,0.81,0,0.88,0.72,0.41,2.52,Local
FR05834,Banana,21.37,99.35,0.91,0.75,0.75,0.84,0,0.03,0.84,0.18,21.51,Export
FR05835,Pomegranate,9.27,261.9,0.68,0.83,0.55,0.02,2,0.32,0.01,0.2,3.54,Local
FR05836,Banana,16.49,125.13,0.35,0.46,0.76,0.94,0,0.03,0.55,0.12,13.18,Local
FR05837,Orange,8.53,160.16,0.66,0.46,0.95,0.82,3,0.18,0.58,0.32,5.32,Local
FR05838,Peach,6.73,150.81,0.85,0.53,0.45,0.72,1,0.88,0.32,0.38,4.46,Local
FR05839,Pear,8.61,191.13,0.67,0.24,0.09,0.85,1,0.41,0.8,0.33,4.51,Reject
FR05840,Mango,12.84,172.11,0.42,0.73,0.63,0.54,1,0.67,0.91,0.43,7.46,Local
FR05841,Strawberry,3.83,15.38,0.61,0.83,0.1,0.77,1,0.48,0.76,0.35,24.93,Local
FR05842,Banana,20.65,108.53,0.95,0.91,0.62,0.6,3,0.47,0.53,0.4,19.03,Local
FR05843,Pear,7.68,198.77,0.76,0.52,0.53,0.54,0,0.65,0.01,0.2,3.87,Local
FR05844,Pear,9.39,153.02,0.81,0.41,0.71,0.21,1,0.43,0.42,0.26,6.14,Local
FR05845,Orange,6.37,145.78,0.85,0.83,0.35,0.85,0,0.02,0.69,0.14,4.37,Export
FR05846,Apple,6.84,134.52,0.36,0.75,0.14,0.88,0,0.8,0.16,0.27,5.09,Local
FR05847,Apple,8.11,136.82,0.71,0.87,0.24,0.97,2,0.27,0.78,0.34,5.93,Local
FR05848,Banana,18.92,146.82,0.56,0.66,0.68,0.12,0,0.67,0.61,0.32,12.89,Local
FR05849,Strawberry,3.44,20.39,0.4,0.88,0.48,0.29,1,0.66,0.33,0.31,16.86,Local
FR05850,Banana,22.36,98.62,0.44,0.09,0.54,0.69,0,0.14,0.85,0.21,22.67,Reject
FR05851,Banana,20.57,139.28,0.85,0.68,0.32,0.86,1,0.16,0.64,0.23,14.77,Export
FR05852,Pomegranate,9.92,334.25,0.41,0.09,0.84,0.75,2,0.45,0.3,0.3,2.97,Reject
FR05853,Peach,7.24,127.76,0.52,0.75,1.0,0.46,1,0.34,0.2,0.19,5.66,Local
FR05854,Peach,7.92,163.79,0.5,0.63,0.31,0.73,2,0.27,0.16,0.21,4.84,Local
FR05855,Strawberry,3.96,20.13,0.33,0.02,0.72,0.07,0,0.31,0.99,0.29,19.69,Reject
FR05856,Pomegranate,8.23,288.04,0.62,0.6,0.17,0.66,0,0.25,0.87,0.25,2.86,Local
FR05857,Pear,10.02,207.66,0.84,0.15,0.74,0.01,0,0.11,0.69,0.17,4.82,Reject
FR05858,Pomegranate,8.54,293.25,0.32,0.14,0.43,0.05,2,0.09,0.47,0.22,2.91,Reject
FR05859,Banana,15.17,137.73,0.38,0.15,0.61,0.76,2,0.88,0.85,0.53,11.02,Reject
FR05860,Apple,7.25,178.85,0.8,0.48,0.24,0.48,2,0.81,0.7,0.49,4.05,Local
FR05861,Grapes,1.72,5.77,0.72,0.12,0.85,0.06,1,0.49,0.56,0.31,29.86,Reject
FR05862,Strawberry,3.64,17.66,0.8,0.13,0.17,0.48,2,0.32,0.78,0.35,20.59,Reject
FR05863,Pear,9.75,164.06,0.46,0.26,0.93,0.06,0,0.69,0.12,0.23,5.94,Reject
FR05864,Orange,8.17,143.83,0.86,0.0,0.06,0.35,0,0.11,0.87,0.21,5.68,Reject
FR05865,Grapes,1.59,4.26,0.64,0.28,0.29,0.16,2,0.1,0.13,0.16,37.22,Reject
FR05866,Grapes,1.9,6.03,0.73,0.62,0.56,0.22,1,0.14,0.9,0.27,31.47,Local
FR05867,Pomegranate,9.97,348.2,0.36,0.6,0.86,0.2,2,0.69,0.22,0.35,2.86,Local
FR05868,Mango,13.18,229.95,0.44,0.97,0.58,0.37,1,0.82,0.39,0.37,5.73,Local
FR05869,Grapes,1.95,4.69,0.84,0.12,0.22,0.11,0,0.54,0.76,0.31,41.67,Reject
FR05870,Banana,16.55,86.85,0.46,0.87,0.86,0.53,2,0.17,0.11,0.17,19.05,Local
FR05871,Watermelon,24.96,4035.83,0.36,0.39,0.6,0.41,0,0.34,0.97,0.3,0.62,Reject
FR05872,Apple,7.97,210.78,0.72,0.39,0.23,0.84,0,0.82,0.75,0.4,3.78,Reject
FR05873,Apple,7.51,164.67,0.68,0.35,0.56,0.83,1,0.51,0.26,0.26,4.56,Reject
FR05874,Watermelon,27.72,5210.22,0.73,0.12,0.68,0.82,1,0.45,0.89,0.36,0.53,Reject
FR05875,Peach,7.25,132.39,0.73,0.48,0.68,0.47,3,0.66,0.04,0.36,5.47,Local
FR05876,Banana,17.5,102.72,0.65,0.79,0.72,0.29,4,0.35,0.01,0.31,17.04,Local
FR05877,Orange,8.26,110.82,0.65,0.88,0.9,0.42,1,0.0,0.32,0.12,7.46,Local
FR05878,Grapes,2.23,3.95,0.95,0.96,0.82,0.69,2,0.94,0.1,0.4,56.57,Local
FR05879,Peach,7.81,132.57,0.67,0.79,0.61,0.53,3,0.71,0.82,0.53,5.89,Local
FR05880,Banana,15.34,130.43,0.73,0.62,0.03,0.62,1,0.96,0.38,0.41,11.76,Local
FR05881,Pomegranate,10.0,261.6,0.49,0.5,0.75,0.69,2,0.85,0.62,0.48,3.82,Local
FR05882,Apple,8.69,105.16,0.91,0.87,0.97,0.92,1,0.37,0.82,0.33,8.27,Local
FR05883,Peach,5.89,167.14,0.32,0.74,0.31,0.94,1,0.38,0.15,0.19,3.52,Local
FR05884,Strawberry,3.41,14.41,0.69,0.16,0.61,0.84,2,0.14,0.97,0.34,23.63,Reject
FR05885,Grapes,1.83,4.31,0.57,0.68,0.77,0.07,1,0.81,0.65,0.42,42.54,Local
FR05886,Grapes,1.96,4.72,0.72,0.43,0.64,0.98,0,0.62,0.07,0.2,41.51,Local
FR05887,Orange,7.66,148.44,0.55,0.6,0.92,0.7,1,0.26,0.54,0.23,5.16,Local
FR05888,Mango,12.79,265.92,0.8,0.9,0.47,0.69,0,0.96,0.87,0.46,4.81,Local
FR05889,Strawberry,3.69,23.5,0.31,0.65,0.53,0.02,2,0.77,0.9,0.51,15.71,Local
FR05890,Grapes,1.91,4.05,0.58,0.94,0.04,0.48,2,0.88,0.75,0.51,47.04,Local
FR05891,Pear,10.3,183.67,0.88,0.87,0.9,0.63,5,0.17,0.97,0.5,5.61,Local
FR05892,Strawberry,3.56,18.1,0.48,0.13,0.26,0.28,2,0.59,0.5,0.38,19.66,Reject
FR05893,Grapes,1.85,5.64,0.34,0.01,0.98,0.08,1,0.99,0.4,0.43,32.86,Reject
FR05894,Watermelon,27.95,5587.87,0.65,0.38,0.2,0.53,2,0.35,0.22,0.25,0.5,Reject
FR05895,Strawberry,3.83,21.71,0.98,0.87,0.25,0.45,0,0.4,0.46,0.21,17.66,Local
FR05896,Banana,18.28,116.84,0.34,0.23,0.48,0.04,0,0.54,0.86,0.33,15.65,Reject
FR05897,Strawberry,4.01,18.88,0.35,0.69,0.66,0.52,2,0.04,0.05,0.12,21.23,Local
FR05898,Orange,7.83,131.91,0.72,0.48,0.44,0.11,1,0.23,0.22,0.16,5.94,Local
FR05899,Pomegranate,8.29,270.08,0.48,0.75,0.35,0.42,1,0.32,0.97,0.34,3.07,Local
FR05900,Pomegranate,8.13,313.51,0.59,0.16,0.54,0.27,1,0.01,0.79,0.21,2.59,Reject
FR05901,Pomegranate,7.54,284.17,0.88,0.24,0.96,0.97,0,0.32,0.28,0.15,2.65,Reject
FR05902,Banana,18.29,87.41,0.44,0.24,0.96,0.03,6,0.55,0.84,0.63,20.92,Reject
FR05903,Peach,6.63,145.37,0.8,0.55,0.33,0.56,1,0.02,0.14,0.08,4.56,Local
FR05904,Pomegranate,9.46,271.42,0.65,0.29,0.68,0.15,2,0.53,0.67,0.39,3.49,Reject
FR05905,Apple,8.65,157.38,0.93,0.81,0.72,0.32,1,0.8,0.2,0.33,5.5,Local
FR05906,Banana,18.03,124.53,0.98,0.35,0.65,0.18,0,0.15,0.53,0.15,14.48,Reject
FR05907,Peach,7.78,125.81,0.64,0.66,0.11,1.0,0,0.96,0.63,0.41,6.18,Local
FR05908,Apple,7.53,143.95,0.71,0.95,0.54,0.03,0,0.41,0.73,0.27,5.23,Local
FR05909,Apple,7.68,194.23,0.82,0.61,0.76,0.54,0,0.44,0.91,0.31,3.95,Local
FR05910,Apple,8.55,132.85,0.52,0.24,0.2,0.61,0,0.51,0.79,0.31,6.44,Reject
FR05911,Pear,8.35,190.06,0.46,0.83,0.35,0.77,3,0.39,0.3,0.33,4.39,Local
FR05912,Orange,6.68,133.68,0.98,0.01,0.2,0.63,0,0.65,0.84,0.36,5.0,Reject
FR05913,Orange,8.71,136.2,0.6,0.26,0.89,0.23,0,0.18,0.06,0.07,6.4,Reject
FR05914,Banana,20.06,142.6,0.3,0.39,0.86,0.6,1,0.92,0.74,0.47,14.07,Reject
FR05915,Apple,7.3,138.64,0.89,0.2,0.17,0.97,0,0.87,0.48,0.36,5.26,Reject
FR05916,Watermelon,24.17,4183.53,0.72,0.6,0.76,0.85,1,0.64,0.44,0.33,0.58,Local
FR05917,Strawberry,3.55,19.38,0.42,0.56,0.36,0.45,4,0.79,0.7,0.58,18.32,Reject
FR05918,Peach,7.3,169.34,0.32,0.41,0.69,0.48,0,0.71,0.06,0.22,4.31,Local
FR05919,Orange,8.24,161.01,0.5,0.29,0.49,0.13,0,0.47,0.87,0.32,5.12,Reject
FR05920,Pomegranate,6.88,298.62,0.95,0.43,0.47,0.57,4,0.16,0.26,0.3,2.3,Local
FR05921,Banana,21.72,65.81,0.95,0.29,0.88,0.28,0,0.32,0.81,0.26,33.01,Reject
FR05922,Peach,7.58,136.65,0.52,0.22,0.64,0.11,1,0.88,0.32,0.38,5.55,Reject
FR05923,Banana,16.16,134.42,0.89,0.35,0.24,0.47,1,0.67,0.73,0.4,12.03,Reject
FR05924,Watermelon,30.13,5581.42,0.61,0.6,0.11,0.05,4,0.87,0.92,0.64,0.54,Reject
FR05925,Pear,8.6,154.53,0.76,0.65,0.93,0.12,1,0.88,0.69,0.45,5.56,Local
FR05926,Pear,9.16,203.58,0.53,0.3,0.15,0.22,1,0.53,0.23,0.26,4.5,Reject
FR05927,Apple,7.63,153.03,0.66,0.95,0.73,0.99,2,0.44,0.7,0.37,4.98,Local
FR05928,Pear,12.05,209.12,0.51,0.26,0.5,0.81,0,0.43,0.7,0.27,5.76,Reject
FR05929,Banana,20.48,93.71,0.34,0.71,0.14,0.54,1,0.44,0.92,0.37,21.86,Local
FR05930,Pomegranate,8.24,283.14,0.4,0.08,0.78,0.23,1,0.95,0.26,0.39,2.91,Reject
FR05931,Apple,7.04,198.41,0.5,0.66,0.9,0.52,0,0.15,0.97,0.24,3.55,Local
FR05932,Grapes,2.34,4.6,0.98,0.46,0.12,0.65,1,0.15,0.69,0.23,50.84,Local
FR05933,Peach,8.5,139.91,0.98,0.57,0.07,0.0,0,0.39,0.32,0.18,6.07,Local
FR05934,Watermelon,32.77,5108.51,0.88,0.18,0.85,0.99,0,0.8,0.51,0.34,0.64,Reject
FR05935,Apple,8.55,193.6,0.46,0.43,0.5,0.63,0,0.85,0.76,0.41,4.42,Local
FR05936,Banana,20.76,129.19,0.61,0.77,0.67,0.99,0,0.83,0.05,0.26,16.07,Local
FR05937,Peach,6.88,150.8,0.61,0.77,0.44,0.47,1,0.58,0.34,0.29,4.56,Local
FR05938,Pomegranate,8.12,286.39,0.57,0.24,0.41,0.62,0,0.86,0.89,0.43,2.83,Reject
FR05939,Mango,9.54,183.22,0.33,0.35,0.3,0.46,1,0.19,0.11,0.13,5.2,Reject
FR05940,Watermelon,25.15,5946.71,0.67,0.0,0.56,0.01,1,0.6,0.53,0.34,0.42,Reject
FR05941,Banana,20.0,118.53,0.35,0.09,0.16,0.85,1,0.33,0.58,0.26,16.87,Reject
FR05942,Watermelon,30.24,4573.2,0.86,0.13,0.72,0.45,2,0.27,0.29,0.24,0.66,Reject
FR05943,Orange,5.77,100.9,0.78,0.29,0.55,0.47,3,0.1,0.4,0.26,5.72,Reject
FR05944,Mango,9.44,280.62,0.55,0.76,0.85,0.36,2,0.36,0.91,0.39,3.36,Local
FR05945,Peach,6.47,149.68,0.75,0.51,0.92,0.43,3,0.03,0.06,0.17,4.32,Local
FR05946,Pear,10.78,150.3,0.46,0.79,0.9,0.73,0,0.35,0.16,0.14,7.17,Local
FR05947,Banana,19.03,129.7,0.49,0.75,0.6,0.7,0,0.47,0.9,0.32,14.67,Local
FR05948,Watermelon,22.42,6015.66,0.52,0.59,0.32,0.81,1,0.36,0.18,0.19,0.37,Local
FR05949,Peach,6.76,131.94,0.86,0.5,0.36,0.97,0,0.77,0.17,0.27,5.12,Local
FR05950,Pear,11.28,194.11,0.45,0.93,0.65,0.39,1,0.28,0.58,0.25,5.81,Local
FR05951,Pomegranate,10.0,336.91,0.69,0.57,0.71,0.34,2,0.07,0.98,0.32,2.97,Local
FR05952,Pomegranate,8.3,332.49,0.44,0.48,0.16,0.49,1,0.2,0.45,0.2,2.5,Local
FR05953,Watermelon,23.49,4591.53,0.5,0.87,1.0,0.15,1,0.82,0.52,0.4,0.51,Local
FR05954,Apple,7.74,145.07,0.46,0.07,0.11,0.76,0,0.64,0.83,0.36,5.33,Reject
FR05955,Orange,8.24,156.01,0.75,0.66,0.61,0.58,3,0.58,0.7,0.46,5.28,Local
FR05956,Apple,7.53,176.19,0.67,0.11,0.53,0.21,3,0.54,1.0,0.51,4.27,Reject
FR05957,Orange,7.25,142.62,0.8,0.82,0.59,0.86,1,0.75,0.61,0.4,5.09,Local
FR05958,Banana,18.11,128.34,0.45,0.79,0.53,0.62,0,0.2,0.42,0.14,14.11,Local
FR05959,Grapes,2.09,4.73,0.31,0.5,0.06,0.03,1,0.21,0.33,0.18,44.28,Local
FR05960,Watermelon,27.54,4833.2,0.78,0.66,1.0,0.2,2,0.13,0.99,0.34,0.57,Local
FR05961,Strawberry,3.22,15.6,0.38,0.77,0.98,0.89,1,0.34,0.81,0.31,20.68,Local
FR05962,Watermelon,27.95,5009.29,0.47,0.48,0.52,0.38,1,0.27,0.82,0.3,0.56,Local
FR05963,Mango,11.28,289.22,0.51,0.91,0.21,0.98,1,0.92,0.19,0.36,3.9,Local
FR05964,Pear,8.48,142.89,0.82,0.44,0.18,0.53,1,0.01,0.46,0.15,5.94,Local
FR05965,Mango,11.09,261.55,0.74,0.89,0.06,0.21,3,0.47,0.02,0.3,4.24,Local
FR05966,Pomegranate,8.72,341.9,0.43,0.58,0.61,0.59,2,0.73,0.53,0.43,2.55,Local
FR05967,Orange,5.26,175.2,0.72,0.43,0.48,0.1,0,0.91,0.07,0.29,3.0,Local
FR05968,Pear,9.85,192.33,0.8,0.0,0.42,0.81,0,0.97,0.2,0.33,5.12,Reject
FR05969,Pomegranate,5.4,333.92,0.57,0.3,0.53,0.63,0,0.07,0.28,0.08,1.62,Reject
FR05970,Pear,7.89,166.29,0.47,0.87,0.87,0.96,0,0.2,0.82,0.22,4.75,Local
FR05971,Apple,7.84,169.78,0.78,0.43,0.07,0.69,1,1.0,0.1,0.37,4.62,Local
FR05972,Pomegranate,9.69,317.5,0.73,0.42,0.54,0.05,2,0.31,0.91,0.38,3.05,Local
